"name","habitat"
"Green Heron (Butorides virescens)","Marshes"
"Baltimore Oriole (Icterus galbula)","Forests"
"Common Grackle (Quiscalus quiscula)","Open Woodlands"
"Red-winged Blackbird (Agelaius phoeniceus)","Marshes"
"Black-capped Chickadee (Poecile atricapillus)","Forests"
"Tufted Titmouse (Baeolophus bicolor)","Forests"
"American Goldfinch (Carduelis tristis)","Open Woodlands"
"Indigo Bunting (Passerina cyanea)","Open Woodlands"
"Northern Cardinal (Cardinalis cardinalis)","Open Woodlands"
"Ruby-throated Hummingbird (Archilochus colubris)","Open Woodlands"
"American Crow (Corvus brachyrhynchos)","Open Woodlands"
"Blue Jay (Cyanocitta cristata)","Forests"
"Belted Kingfisher (Megaceryle alcyon)","Lakes and Ponds"
"Bald Eagle (Haliaeetus leucocephalus)","Forests"
"Osprey (Pandion haliaetus)","Oceans"
"Brown Thrasher (Toxostoma rufum)","Scrub"
"Gray Catbird (Dumetella carolinensis)","Open Woodlands"
"White-breasted Nuthatch (Sitta carolinensis)","Forests"
"Blue-gray Gnatcatcher (Polioptila caerulea)","Forests"
"Mourning Dove (Zenaida macroura)","Open Woodlands"
"Rock Pigeon (Columba livia)","Towns"
"European Starling (Sturnus vulgaris)","Towns"
"Barn Swallow (Hirundo rustica)","Grasslands"
"Cliff Swallow (Petrochelidon pyrrhonota)","Lakes and Ponds"
"Tree Swallow (Tachycineta bicolor)","Lakes and Ponds"
"Canada Goose (Branta canadensis)","Marshes"
"Common Merganser (Mergus merganser)","Lakes and Ponds"
"Chimney Swift (Chaetura pelagica)","Towns"
"Scarlet Tanager (Piranga olivacea)","Forests"
"American Robin (Turdus migratorius)","Open Woodlands"
"Hermit Thrush (Catharus guttatus)","Open Woodlands"
"Veery (Catharus fuscescens)","Forests"
"Wood Thrush (Hylocichla mustelina)","Forests"
"Chipping Sparrow (Spizella passerina)","Open Woodlands"
"Eastern Towhee (Pipilo erythrophthalmus)","Scrub"
"Dark-eyed Junco (Junco hyemalis)","Forests"
"Song Sparrow (Melospiza melodia)","Open Woodlands"
"Swamp Sparrow (Melospiza georgiana)","Marshes"
"Eastern Screech-Owl (Megascops asio)","Forests"
"Eastern Kingbird (Tyrannus tyrannus)","Grasslands"
"Eastern Phoebe (Sayornis phoebe)","Open Woodlands"
"Eastern Wood-Pewee (Contopus virens)","Forests"
"Great Crested Flycatcher (Myiarchus crinitus)","Open Woodlands"
"Least Flycatcher (Empidonax minimus)","Forests"
"Willow Flycatcher (Empidonax traillii)","Marshes"
"Red-eyed Vireo (Vireo olivaceus)","Forests"
"Warbling Vireo (Vireo gilvus)","Open Woodlands"
"Yellow-throated Vireo (Vireo flavifrons)","Open Woodlands"
"Turkey Vulture (Cathartes aura)","Open Woodlands"
"Cedar Waxwing (Bombycilla cedrorum)","Open Woodlands"
"American Redstart (Setophaga ruticilla)","Forests"
"Black-and-white Warbler (Mniotilta varia)","Forests"
"Blackburnian Warbler (Dendroica fusca)","Forests"
"Black-throated Blue Warbler (Dendroica caerulescens)","Forests"
"Common Yellowthroat (Geothlypis trichas)","Scrub"
"Chestnut-sided Warbler (Dendroica pensylvanica)","Open Woodlands"
"Ovenbird (Seiurus aurocapilla)","Forests"
"Yellow Warbler (Dendroica petechia)","Open Woodlands"
"Downy Woodpecker (Picoides pubescens)","Forests"
"Yellow-bellied Sapsucker (Sphyrapicus varius)","Forests"
"Northern Flicker (Colaptes auratus)","Open Woodlands"
"Carolina Wren (Thryothorus ludovicianus)","Open Woodlands"
"House Wren (Troglodytes aedon)","Scrub"
"Great Blue Heron (Ardea herodias)","Marshes"
"Brown-headed Cowbird (Molothrus ater)","Grasslands"
"Bobolink (Dolichonyx oryzivorus)","Grasslands"
"Purple Finch (Carpodacus purpureus)","Forests"
"Rose-breasted Grosbeak (Pheucticus ludovicianus)","Forests"
"Common Raven (Corvus corax)","Forests"
"Broad-winged Hawk (Buteo platypterus)","Forests"
"Red-tailed Hawk (Buteo jamaicensis)","Forests"
"Wild Turkey (Meleagris gallopavo)","Open Woodlands"
"Eastern Bluebird (Sialia sialis)","Grasslands"
"Field Sparrow (Spizella pusilla)","Scrub"
"Great Horned Owl (Bubo virginianus)","Forests"
"Alder Flycatcher (Empidonax alnorum)","Scrub"
"Blue-headed Vireo (Vireo solitarius)","Forests"
"Black-throated Green Warbler (Dendroica virens)","Forests"
"Canada Warbler (Wilsonia canadensis)","Forests"
"Magnolia Warbler (Dendroica magnolia)","Forests"
"Hairy Woodpecker (Picoides villosus)","Forests"
"Pileated Woodpecker (Dryocopus pileatus)","Forests"
"Winter Wren (Troglodytes troglodytes)","Forests"
"American Kestrel (Falco sparverius)","Grasslands"
"Brown Creeper (Certhia americana)","Forests"
"Black-billed Cuckoo (Coccyzus erythropthalmus)","Forests"
"Sharp-shinned Hawk (Accipiter striatus)","Forests"
"House Sparrow (Passer domesticus)","Towns"
"Killdeer (Charadrius vociferus)","Grasslands"
"Mallard (Anas platyrhynchos)","Lakes and Ponds"
"Swainson's Thrush (Catharus ustulatus)","Forests"
"White-throated Sparrow (Zonotrichia albicollis)","Forests"
"Blue-winged Warbler (Vermivora pinus)","Open Woodlands"
"Louisiana Waterthrush (Seiurus motacilla)","Rivers and Streams"
"Yellow-rumped Warbler (Dendroica coronata)","Forests"
"Pine Warbler (Dendroica pinus)","Forests"
"Prairie Warbler (Dendroica discolor)","Scrub"
"House Finch (Carpodacus mexicanus)","Towns"
"Golden-crowned Kinglet (Regulus satrapa)","Forests"
"Northern Goshawk (Accipiter gentilis)",""
"Red-shouldered Hawk (Buteo lineatus)","Forests"
"Red-breasted Nuthatch (Sitta canadensis)","Forests"
"Ruffed Grouse (Bonasa umbellus)","Forests"
"Wood Duck (Aix sponsa)","Lakes and Ponds"
"Barred Owl (Strix varia)","Forests"
"Mourning Warbler (Oporornis philadelphia)","Forests"
"Yellow-billed Cuckoo (Coccyzus americanus)","Open Woodlands"
"Nashville Warbler (Vermivora ruficapilla)","Forests"
"Eastern Meadowlark (Sturnella magna)","Grasslands"
"Ring-necked Pheasant (Phasianus colchicus)",""
"Savannah Sparrow (Passerculus sandwichensis)","Grasslands"
"American Woodcock (Scolopax minor)","Forests"
"Hooded Merganser (Lophodytes cucullatus)","Lakes and Ponds"
"Northern Mockingbird (Mimus polyglottos)","Towns"
"Spotted Sandpiper (Actitis macularius)","Shorelines"
"Northern Rough-winged Swallow (Stelgidopteryx serripennis)","Rivers and Streams"
"Cooper's Hawk (Accipiter cooperii)","Forests"
"Northern Bobwhite (Colinus virginianus)","Grasslands"
"Ruby-crowned Kinglet (Regulus calendula)","Forests"
"Virginia Rail (Rallus limicola)","Marshes"
"Red-bellied Woodpecker (Melanerpes carolinus)","Forests"
"Bank Swallow (Riparia riparia)","Lakes and Ponds"
"Common Nighthawk (Chordeiles minor)","Grasslands"
"Purple Martin (Progne subis)","Lakes and Ponds"
"Mute Swan (Cygnus olor)","Lakes and Ponds"
"Vesper Sparrow (Pooecetes gramineus)","Grasslands"
"Northern Saw-whet Owl (Aegolius acadicus)","Forests"
"Cerulean Warbler (Dendroica cerulea)","Forests"
"Hooded Warbler (Wilsonia citrina)","Forests"
"Northern Parula (Parula americana)","Forests"
"Northern Waterthrush (Seiurus noveboracensis)","Forests"
"American Bittern (Botaurus lentiginosus)","Marshes"
"Barn Owl (Tyto alba)","Grasslands"
"Black Vulture (Coragyps atratus)","Grasslands"
"Grasshopper Sparrow (Ammodramus savannarum)","Grasslands"
"Red-headed Woodpecker (Melanerpes erythrocephalus)","Open Woodlands"
"Ruddy Duck (Oxyura jamaicensis)","Marshes"
"Wilson's Snipe (Gallinago delicata)","Marshes"
"Pine Siskin (Carduelis pinus)","Open Woodlands"
"Northern Harrier (Circus cyaneus)","Grasslands"
"Lawrence's Warbler (Vermivora chrysoptera x V. pinus)",""
"Golden-winged Warbler (Vermivora chrysoptera)","Open Woodlands"
"Pied-billed Grebe (Podilymbus podiceps)","Lakes and Ponds"
"Horned Lark (Eremophila alpestris)","Grasslands"
"Sora (Porzana carolina)","Marshes"
"American Black Duck (Anas rubripes)","Lakes and Ponds"
"Acadian Flycatcher (Empidonax virescens)","Forests"
"Worm-eating Warbler (Helmitheros vermivorum)","Forests"
"Mallard x Am. Black Duck Hybrid (Anas platyrhynchos x A. rubripes)",""
"Black-crowned Night-Heron (Nycticorax nycticorax)",""
"White-winged Crossbill (Loxia leucoptera)","Forests"
"Whip-poor-will (Caprimulgus vociferus)",""
"Fish Crow (Corvus ossifragus)","Shorelines"
"Brewster's Warbler (Vermivora pinus x V. chrysoptera)",""
"Green-winged Teal (Anas crecca)","Marshes"
"Common Moorhen (Gallinula chloropus)",""
"Olive-sided Flycatcher (Contopus cooperi)","Open Woodlands"
"Marsh Wren (Cistothorus palustris)","Marshes"
"Blue-winged Teal (Anas discors)","Marshes"
"Evening Grosbeak (Coccothraustes vespertinus)","Forests"
"Kentucky Warbler (Oporornis formosus)","Forests"
"Great Egret (Ardea alba)","Marshes"
"Merlin (Falco columbarius)","Forests"
"American Coot (Fulica americana)","Lakes and Ponds"
"Red Crossbill (Loxia curvirostra)","Forests"
"Common Loon (Gavia immer)","Lakes and Ponds"
"Least Bittern (Ixobrychus exilis)","Marshes"
"Redhead (Aythya americana)","Lakes and Ponds"
"Upland Sandpiper (Bartramia longicauda)","Grasslands"
"Yellow-throated Warbler (Dendroica dominica)","Forests"
"Ring-billed Gull (Larus delawarensis)","Lakes and Ponds"
"Clay-colored Sparrow (Spizella pallida)","Scrub"
"Long-eared Owl (Asio otus)","Forests"
"Orchard Oriole (Icterus spurius)","Open Woodlands"
"Gadwall (Anas strepera)","Marshes"
"Blackpoll Warbler (Dendroica striata)","Forests"
"Bicknell's Thrush (Catharus bicknelli)","Forests"
"Yellow-bellied Flycatcher (Empidonax flaviventris)","Forests"
"Dickcissel (Spiza americana)","Grasslands"
"Henslow's Sparrow (Ammodramus henslowii)","Grasslands"
"Yellow-breasted Chat (Icteria virens)","Scrub"
"White-eyed Vireo (Vireo griseus)","Scrub"
"Sedge Wren (Cistothorus platensis)","Grasslands"
"Prothonotary Warbler (Protonotaria citrea)","Forests"
"Double-crested Cormorant (Phalacrocorax auritus)","Lakes and Ponds"
"Monk Parakeet (Myiopsitta monachus)","Forests"
"Boat-tailed Grackle (Quiscalus major)","Marshes"
"Peregrine Falcon (Falco peregrinus)","Shorelines"
"Chuck-will's-widow (Caprimulgus carolinensis)","Open Woodlands"
"Clapper Rail (Rallus longirostris)","Marshes"
"Saltmarsh Sharp-tailed Sparrow (Ammodramus caudacutus)",""
"American Oystercatcher (Haematopus palliatus)","Shorelines"
"Willet (Tringa semipalmata)","Shorelines"
"Blue Grosbeak (Passerina caerulea)","Open Woodlands"
"Yellow-crowned Night-Heron (Nyctanassa violacea)",""
"Herring Gull (Larus argentatus)","Shorelines"
"Northern Shoveler (Anas clypeata)","Marshes"
"Seaside Sparrow (Ammodramus maritimus)","Marshes"
"Great Black-backed Gull (Larus marinus)","Shorelines"
"Cattle Egret (Bubulcus ibis)",""
"Little Blue Heron (Egretta caerulea)","Marshes"
"Snowy Egret (Egretta thula)","Marshes"
"Tricolored Heron (Egretta tricolor)","Marshes"
"Glossy Ibis (Plegadis falcinellus)","Marshes"
"Piping Plover (Charadrius melodus)","Shorelines"
"Black Skimmer (Rynchops niger)","Shorelines"
"Common Tern (Sterna hirundo)","Shorelines"
"Least Tern (Sternula antillarum)","Shorelines"
"Gull-billed Tern (Gelochelidon nilotica)","Shorelines"
"Laughing Gull (Leucophaeus atricilla)","Shorelines"
"Forster's Tern (Sterna forsteri)","Marshes"
"King Rail (Rallus elegans)","Marshes"
"Roseate Tern (Sterna dougallii)","Shorelines"
"Black Rail (Laterallus jamaicensis)","Marshes"
"Short-eared Owl (Asio flammeus)","Grasslands"
"Summer Tanager (Piranga rubra)","Open Woodlands"
"Red-breasted Merganser (Mergus serrator)","Lakes and Ponds"
"Common Eider (Somateria mollissima)","Oceans"
"Ring-necked Duck (Aythya collaris)","Lakes and Ponds"
"Western Kingbird (Tyrannus verticalis)","Grasslands"
"Caspian Tern (Hydropogne caspia)","Shorelines"
"American Wigeon (Anas americana)","Lakes and Ponds"
"Wilson's Phalarope (Phalaropus tricolor)","Lakes and Ponds"
"Black Tern (Chlidonias niger)","Marshes"
"Lesser Scaup (Aythya affinis)","Lakes and Ponds"
"Sandhill Crane (Grus canadensis)","Marshes"
"Northern Pintail (Anas acuta)","Marshes"
"Loggerhead Shrike (Lanius ludovicianus)","Open Woodlands"
"Trumpeter Swan (Cygnus buccinator)","Lakes and Ponds"
"Golden Eagle (Aquila chrysaetos)","Grasslands"
"Eurasian Collared-Dove (Streptopelia decaocto)","Towns"
"Common Goldeneye (Bucephala clangula)","Lakes and Ponds"
"American White Pelican (Pelecanus erythrorhynchos)","Lakes and Ponds"
"Canvasback (Aythya valisineria)","Lakes and Ponds"
"Western Meadowlark (Sturnella neglecta)","Grasslands"
"Boreal Chickadee (Poecile hudsonica)","Forests"
"Philadelphia Vireo (Vireo philadelphicus)","Forests"
"Gray Partridge (Perdix perdix)","Grasslands"
"White-winged Tern (Chlidonias leucopterus)",""
"Lincoln's Sparrow (Melospiza lincolnii)","Scrub"
"Black-backed Woodpecker (Picoides arcticus)","Forests"
"American Three-toed Woodpecker (Picoides dorsalis)","Forests"
"Rusty Blackbird (Euphagus carolinus)","Forests"
"Gray Jay (Perisoreus canadensis)",""
"Tennessee Warbler (Vermivora peregrina)","Forests"
"Bay-breasted Warbler (Dendroica castanea)","Forests"
"Spruce Grouse (Falcipennis canadensis)","Forests"
"Palm Warbler (Dendroica palmarum)","Open Woodlands"
"Cape May Warbler (Dendroica tigrina)","Forests"
"Wilson's Warbler (Wilsonia pusilla)","Scrub"
"Nelson's Sharp-tailed Sparrow (Ammodramus nelsoni)",""
